pmkAthleteID,fldName,fldSex,fldAge,fldHeight,fldWeight,fpkNationality,fldYear,fldCity,fpkSport,fldEvent
6922,Timothy Tim Baillie,M,33,176,78,GBR,2012,London,Canoeing,"Canoeing Men's Canadian Doubles, Slalom"
7020,Kathleen Baker,F,19,173,68,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay
7021,Keshia Chantay Baker (-Kirtz),F,24,170,62,USA,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay
7026,Mashu Baker,M,21,178,90,JPN,2016,Rio de Janeiro,Judo,Judo Men's Middleweight
7133,Dmitry Igorevich Balandin,M,21,195,85,KAZ,2016,Rio de Janeiro,Swimming,Swimming Men's 200 metres Breaststroke
7217,Andrea Baldini,M,26,175,70,ITA,2012,London,Fencing,"Fencing Men's Foil, Team"
7612,Carina Br,F,26,185,75,GER,2016,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls
7627,Samir Bara,M,38,188,95,CRO,2012,London,Water Polo,Water Polo Men's Water Polo
7632,Xavier Barachet,M,23,195,95,FRA,2012,London,Handball,Handball Men's Handball
7884,Elinor Jane Barker,F,21,168,56,GBR,2016,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit
7956,Harrison Bryce Jordan Barnes,M,24,203,102,USA,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball
8364,Saskia Bartusiak,F,33,170,60,GER,2016,Rio de Janeiro,Football,Football Women's Football
8452,Fabio Basile,M,21,160,66,ITA,2016,Rio de Janeiro,Judo,Judo Men's Half-Lightweight
9111,Anna Rose Bebington-Watkins,F,29,183,78,GBR,2012,London,Rowing,Rowing Women's Double Sculls
9154,Laura Bechtolsheimer (-Tomlinson),F,27,169,56,GBR,2012,London,Equestrianism,"Equestrianism Mixed Dressage, Team"
9181,Nicole Elise Beck,F,28,168,66,AUS,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens
9434,Melanie Behringer,F,30,172,71,GER,2016,Rio de Janeiro,Football,Football Women's Football
9464,Ruth Beita Vila,F,37,191,72,ESP,2016,Rio de Janeiro,Athletics,Athletics Women's High Jump
9567,Mathew Belcher,M,29,173,62,AUS,2012,London,Sailing,Sailing Men's Two Person Dinghy
9750,Mireia Belmonte Garca,F,25,170,59,ESP,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly
10181,Paul Bennett,M,27,207,100,GBR,2016,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights
10257,Joseph Gunnar Bentz,M,20,196,84,USA,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
10337,Richard Ricky Berens,M,24,188,93,USA,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
10357,Yury Viktorovich Berezhko,M,28,198,97,RUS,2012,London,Volleyball,Volleyball Men's Volleyball
10614,Krisztin Berki,M,27,178,70,HUN,2012,London,Gymnastics,Gymnastics Men's Pommelled Horse
10674,Alain Andr Louis Edmond Bernard,M,29,196,90,FRA,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
11146,Jamie Lynn Beyerle-Gray (-Corkish),F,28,157,55,USA,2012,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
11495,Simone Arianne Biles,F,19,143,47,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around
11495,Simone Arianne Biles,F,19,143,47,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around
11495,Simone Arianne Biles,F,19,143,47,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise
